Food Name	Category Name	Calcium	Calories	Carbs	Cholesterol	Copper	Fats	Fiber	Folate	Iron	Magnesium	Monounsaturated Fat	Net carbs	Omega-3 - DHA	Omega-3 - DPA	Omega-3 - EPA	Phosphorus	Polyunsaturated fat	Potassium	Protein	Saturated Fat	Selenium	Sodium	Trans Fat	Vitamin A (IU)	Vitamin A RAE	Vitamin B1	Vitamin B12	Vitamin B2	Vitamin B3	Vitamin B5	Vitamin B6	Vitamin C	Zinc	Choline	Fructose	Histidine	Isoleucine	Leucine	Lysine	Manganese	Methionine	Phenylalanine	Starch	Sugar	Threonine	Tryptophan	Valine	Vitamin D	Vitamin E	Vitamin K	Omega-3 - ALA	Omega-6 - Eicosadienoic acid	Omega-6 - Gamma-linoleic acid	Omega-3 - Eicosatrienoic acid	Omega-6 - Dihomo-gamma-linoleic acid	Omega-6 - Linoleic acid	Omega-6 - Arachidonic acid
Soft serve	Dairy	0.131	222	22	0.091	3.00E-05	13	0.7	9.00E-06	0.00021	0.012	3.5	22	0	0	0	0.116	0.46	0.177	4.1	7.5	3.00E-06	0.061		589	0.000162	5.00E-05	5.00E-07	0.00018	0.0001	0.00051	5.00E-05	0.0008	0.00052	0.026		0.0001	0.00022	0.00035	0.0003	1.00E-05	9.00E-05	0.00018		21	0.00017	5.00E-05	0.00024	7.00E-07	0.00061	9.00E-07							
Ice cream sandwich	Dairy	0.086	237	37	0.021	0.00025	8.6	0	3.40E-05	0.00026	0.029	2.7	37	0	0	0	0.072	2.3	0.115	4.3	2.3	3.10E-06	0.129		286	8.60E-05	0.00011	5.00E-08	0.00015	0.0016	0.00021	3.00E-05	0	0.0006	0.008						0.00038				19				0	0.0004	1.30E-06							
American cheese	Dairy	1.045	371	3.7	0.1	5.00E-05	32	0	8.00E-06	0.00063	0.026	8.2	3.7	0.01	0.02	0.01	0.641	1.3	0.132	18	18	2.00E-05	1.671	1.1	945	0.00025	2.00E-05	1.50E-06	0.00023	8.00E-05	0.0004	5.00E-05	0	0.0025	0.036	0	0.00055	0.00094	0.0017	0.0015	4.00E-05	0.00048	0.00094		2.3	0.00077	0.00023	0.0012	6.00E-07	0.0008	2.60E-06	0.14	0.01	0	0	0.03	0.79	
Yogurt	Dairy	0.11	59	3.6	0.005	2.00E-05	0.39	0	7.00E-06	7.00E-05	0.011	0.05	3.6	0	0	0	0.135	0.01	0.141	10	0.12	9.70E-06	0.036	0.01	4	1.00E-06	2.00E-05	7.50E-07	0.00028	0.00021	0.00033	6.00E-05	0	0.00052	0.015	0					1.00E-05				3.2				0	1.00E-05	0	0	0	0	0	0	0.01	
Cotija cheese	Dairy	0.8	366	4	0.1	0.00024	30	0	1.00E-05	0	0.038	8.3	4	0	0	0	0.729	1.2	0.125	20	18	1.80E-05	1.4	0	865	0.000229	3.00E-05	2.30E-06	0.00049	0.00011		5.00E-05	0	0.0039	0.015										0				5.00E-07	0.00025	1.90E-06							
Kefir	Dairy	0.13	41	4.5	0.005	1.00E-05	0.93	0	1.30E-05	4.00E-05	0.012	0.31	4.5	0	0	0	0.105	0.05	0.164	3.8	0.66	3.60E-06	0.04	0.04	569	0.000171	3.00E-05	2.90E-07	0.00014	0.00015	0.00039	6.00E-05	0.0002	0.00046	0.015	0					1.00E-05				4.6				1.00E-06	2.00E-05	1.00E-07	0.01	0	0	0	0	0.03	
Greek yogurt	Dairy	0.1	97	4	0.013	2.00E-05	5	0	5.00E-06	0	0.011	2.1	4	0	0	0	0.135	0.47	0.141	9	2.4	9.70E-06	0.035	0	15	2.00E-06	2.00E-05	7.50E-07	0.00028	0.00021	0.00033	6.00E-05	0	0.00052	0.015						1.00E-05				4				0	1.00E-05	0	0.02	0	0	0	0	0.21	
Ice cream sundae cone	Dairy	0.06	254	29	0.015	8.00E-05	14	1	1.90E-05	0.00036	0.02	1.8	28	0	0	0	0.128	0.75	0.204	3	2.7	2.30E-06	0.115	0	410	0.000117	9.00E-05	3.50E-07	0.00021	0.0011	0.00036	5.00E-05	0	0.00056	0.012		2.00E-05	3.00E-05	6.00E-05	2.00E-05	9.00E-05	2.00E-05	4.00E-05		21	2.00E-05	1.00E-05	4.00E-05	1.00E-07	0.00011	5.00E-07							
Coconut milk	Dairy	0.016	230	5.5	0	0.00027	24	2.2	1.60E-05	0.0016	0.037	1	3.3	0	0	0	0.1	0.26	0.263	2.3	21	6.20E-06	0.015		0	0	3.00E-05	0	0	0.00076	0.00018	3.00E-05	0.0028	0.00067	0.0085		5.00E-05	9.00E-05	0.00017	0.0001	0.00092	4.00E-05	0.00012		3.3	8.00E-05	3.00E-05	0.00014	0	0.00015	1.00E-07							
Mozzarella	Dairy	0.731	280	3.1	0.054	3.00E-05	17	0	9.00E-06	0.00025	0.026	4.8	3.1	0	0	0	0.524	0.51	0.095	28	11	1.60E-05	0.016		517	0.000137	2.00E-05	9.20E-07	0.00034	0.00012		8.00E-05	0	0.0031	0.018										1.2				3.00E-07	0.00015	1.80E-06							
Shiitake	Mushrooms	0.002	34	6.8		0.00014	0.49	2.5	1.30E-05	0.00041	0.02		4.3				0.112		0.304	2.2		5.70E-06	0.009	0			2.00E-05		0.00022	0.0039	0.0015	0.00029		0.001		0	6.00E-05	0.00011	0.00019	0.00013	0.00023	3.00E-05	0.00011		2.4	0.00013	1.00E-05	0.00015	4.00E-07									
Chanterelle	Mushrooms	0.015	38	6.9		0.00035	0.53	3.8	2.00E-06	0.0035	0.013		3.1				0.057		0.506	1.5		2.20E-06	0.009	0			2.00E-05		0.00022	0.0041	0.0011	4.00E-05		0.00071		0					0.00029				1.2				5.30E-06									
True morels	Mushrooms	0.043	31	5.1		0.00063	0.57	2.8	9.00E-06	0.012	0.019	0.05	2.3	0	0	0	0.194	0.43	0.411	3.1	0.07	2.20E-06	0.021	0	0	0	7.00E-05		0.00021	0.0023	0.00044	0.00014		0.002		0					0.00059				0.6				5.10E-06			0	0	0	0	0	0.22	
Portobello	Mushrooms	0.003	29	4.4	0	0.00039	0.58	2.2	1.90E-05	0.0004	0.013	0.01	2.2	0	0	0	0.135	0.23	0.437	3.3	0.06	2.20E-05	0.011	0	0	0	7.00E-05	0	0.0004	0.0063	0.0013	0.00012	0	0.00065	0.033	0	7.00E-05	9.00E-05	0.00015	0.00011	7.00E-05	4.00E-05	0.0001	0.43	2.3	0.00013	5.00E-05	0.00041	3.00E-07	0	0	0	0	0	0	0	0.23	
Edible mushroom	Mushrooms	0.003	22	3.3	0	0.00032	0.34	1	1.70E-05	0.0005	0.009	0	2.3	0	0	0	0.086	0.16	0.318	3.1	0.05	9.30E-06	0.005	0	0	0	8.00E-05	4.00E-08	0.0004	0.0036	0.0015	0.0001	0.0021	0.00052	0.017	0.17	6.00E-05	8.00E-05	0.00012	0.00011	5.00E-05	3.00E-05	9.00E-05	0	2	0.00011	4.00E-05	0.00023	2.00E-07	1.00E-05	0		0					
Enoki mushrooms	Mushrooms	0	37	7.8	0	0.00011	0.29	2.7	4.80E-05	0.0012	0.016	0	5.1	0	0	0	0.105	0.09	0.359	2.7	0.02	2.20E-06	0.003	0			0.00023	0	0.0002	0.007	0.0014	0.0001	0	0.00065	0.048	0	7.00E-05	9.00E-05	0.00013	0.00013	8.00E-05	3.00E-05	0.00015	0	0.22	0.00011	4.00E-05	0.00023	1.00E-07	1.00E-05	0		0					
Truffle	Mushrooms	0.159	284	73	0	0.00018	0.73	70	3.80E-05	0.0059	0.083		2.9				0.184		0.754	9.3		4.30E-05	0.035	0	0	0	2.00E-05	0	0.00084	0.0063	0.00048	0.00011	0	0.0013							0.002								0									
Maitake mushrooms	Mushrooms	0.001	31	7	0	0.00025	0.19	2.7	2.10E-05	0.0003	0.01	0.03	4.3	0	0	0	0.074	0.09	0.204	1.9	0.03	2.20E-06	0.001	0	0	0	0.00015	0	0.00024	0.0066	0.00027	6.00E-05	0	0.00075	0.051	0	5.00E-05	6.00E-05	8.00E-05	9.00E-05	6.00E-05	2.00E-05	6.00E-05	0	2.1	0.0001	4.00E-05	0.0001	2.80E-05	1.00E-05	0		0					
Porridge	Grains	0.087	50	11	0	4.00E-05	0.21	0.5	1.20E-05	0.0037	0.005	0.03	10	0	0	0	0.015	0.11	0.016	1.4	0.03	2.80E-06	0.006		0	0	6.00E-05	0	3.00E-05	0.00052	7.00E-05	1.00E-05	0	0.00013			3.00E-05	6.00E-05	0.00011	4.00E-05	0	3.00E-05	8.00E-05		0.03	5.00E-05	2.00E-05	7.00E-05	0	2.00E-05	1.00E-07							
Oatmeal	Grains	0.08	68	12	0	7.00E-05	1.4	1.7	4.40E-05	0.006	0.026	0.39	10	0	0	0	0.077	0.43	0.061	2.4	0.23	5.00E-06	0.049	0	433	0.00013	0.00026	0	0.00022	0.003	0.00032	0.00029	0	0.00062	0.0047	0	6.00E-05	0.00011	0.0002	0.00014	0.00056	4.00E-05	0.00013	10	0.46	8.00E-05	4.00E-05	0.00015	0	7.00E-05	4.00E-07							
Cereal	Grains	0.01	378	87		0.00014	1.1	1.4		0.034	0.019	0.2	85	0	0	0	0.077	0.35	0.105	6.1	0.26	6.30E-06	0.795		2792	0.000814	0.0063		0.0039	0.03	0.00023	0.006	0.039	0.0076		0.26	0.00016	0.00026	0.00077	0.00011	0.00079	0.00013	0.00037		10	0.00024	7.00E-05	0.00034		8.00E-05	0		0					
Chia seeds	Grains	0.631	486	42	0	0.00092	31	34	4.90E-05	0.0077	0.335	2.3	7.7				0.86	24	0.407	17	3.3	5.50E-05	0.016	0.14	54		0.00062	0	0.00017	0.0088			0.0016	0.0046			0.00053	0.0008	0.0014	0.00097	0.0027	0.00059	0.001			0.00071	0.00044	0.00095		0.0005		18					5.8	
Sesame	Grains	0.975	573	23	0	0.0041	50	12	9.70E-05	0.015	0.351	19	12	0	0	0	0.629	22	0.468	18	7	3.40E-05	0.011		9	0	0.00079	0	0.00025	0.0045	5.00E-05	0.00079	0	0.0078	0.026		0.00052	0.00076	0.0014	0.00057	0.0025	0.00059	0.00094		0.3	0.00074	0.00039	0.00099	0	0.00025	0							
Sunflower seed	Grains	0.078	584	20	0	0.0018	51	8.6	0.000227	0.0053	0.325	19	11	0	0	0.01	0.66	23	0.645	21	4.5	5.30E-05	0.009		50	3.00E-06	0.0015	0	0.00036	0.0083	0.0011	0.0013	0.0014	0.005	0.055		0.00063	0.0011	0.0017	0.00094	0.002	0.00049	0.0012		2.6	0.00093	0.00035	0.0013	0	0.035	0		0					
Pumpkin seed	Grains	0.055	446	54	0	0.00069	19	18	9.00E-06	0.0033	0.262	6	35				0.092	8.8	0.919	19	3.7		0.018		62	3.00E-06	3.00E-05	0	5.00E-05	0.00029	6.00E-05	4.00E-05	0.0003	0.01			0.00052	0.00096	0.0016	0.0014	0.0005	0.00042	0.00092			0.00068	0.00033	0.0015	0									
Flax seeds	Grains	0.255	534	29	0	0.0012	42	27	8.70E-05	0.0057	0.392	7.5	1.6	0	0	0	0.642	29	0.813	18	3.7	2.50E-05	0.03		0	0	0.0016	0	0.00016	0.0031	0.00099	0.00047	0.0006	0.0043	0.079	0	0.00047	0.0009	0.0012	0.00086	0.0025	0.00037	0.00096		1.6	0.00077	0.0003	0.0011	0	0.00031	4.30E-06		0.01					
Adzuki bean	Grains	0.028	128	25	0	0.0003	0.1	7.3	0.000121	0.002	0.052	0.01	17				0.168	0.02	0.532	7.5	0.04	1.20E-06	0.008	0	6	0	0.00012	0	6.00E-05	0.00072	0.00043	0.0001	0	0.0018			0.0002	0.0003	0.00063	0.00057	0.00057	8.00E-05	0.0004			0.00026	7.00E-05	0.00039	0									
Baked beans	Grains	0.061	155	22	0.005	0.00016	5.2	5.5	4.80E-05	0.002	0.043	2.1	16				0.109	0.74	0.358	5.5	1.9	5.70E-06	0.422	0	0	0	0.00014	0	5.00E-05	0.00041	0.00016	9.00E-05	0.0011	0.00073			0.00015	0.00024	0.00043	0.00038	0.00026	9.00E-05	0.00029			0.00023	7.00E-05	0.00028	0									
Black turtle bean	Grains	0.055	130	24	0	0.00027	0.35	8.3	8.60E-05	0.0029	0.049	0.03	16	0	0	0	0.152	0.15	0.433	8.2	0.09	1.20E-06	0.003	0	6	0	0.00023	0	6.00E-05	0.00053	0.00026	8.00E-05	0	0.00076	0.033		0.00023	0.00036	0.00065	0.00056	0.00033	0.00012	0.00044		0.32	0.00034	0.0001	0.00043	0	0.00087	3.30E-06							
Cranberry beans	Grains	0.05	136	24	0	0.00023	0.46	8.6	0.000207	0.0021	0.05	0.04	16				0.135	0.2	0.387	9.3	0.12	1.30E-06	0.001	0	0		0.00021	0	7.00E-05	0.00052	0.00024	8.00E-05	0	0.0011			0.00026	0.00041	0.00075	0.00064	0.00037	0.00014	0.00051			0.00039	0.00011	0.00049	0									
French beans	Grains	0.063	129	24	0	0.00012	0.76	9.4	7.50E-05	0.0011	0.056	0.05	15				0.102	0.45	0.37	7.1	0.08	1.20E-06	0.006	0	3	0	0.00013	0	6.00E-05	0.00055	0.00022	0.00011	0.0012	0.00064			0.0002	0.00031	0.00056	0.00048	0.00038	0.00011	0.00038			0.0003	8.00E-05	0.00037	0									
Great northern beans	Grains	0.068	118	21	0	0.00025	0.45	7	0.000102	0.0021	0.05	0.02	14				0.165	0.19	0.391	8.3	0.14	4.10E-06	0.002	0	1	0	0.00016	0	6.00E-05	0.00068	0.00027	0.00012	0.0013	0.00088			0.00023	0.00037	0.00067	0.00057	0.00052	0.00013	0.00045			0.00035	0.0001	0.00044	0									
Kidney beans	Grains	0.035	127	23	0	0.00022	0.5	6.4	0.00013	0.0022	0.042	0.04	16	0	0	0	0.138	0.28	0.405	8.7	0.07	1.10E-06	0.001	0	0	0	0.00016	0	6.00E-05	0.00058	0.00022	0.00012	0.0012	0.001	0.031		0.00024	0.00041	0.00074	0.00061	0.00043	0.00011	0.00051		0.32	0.00032	0.0001	0.0005	0	3.00E-05	8.40E-06							
Navy beans	Grains	0.069	140	26		0.00021	0.62	11	0.00014	0.0024	0.053	0.14	16	0		0	0.144	0.49	0.389	8.2	0.1	2.90E-06	0	0	0	0	0.00024	0	7.00E-05	0.00065	0.00027	0.00014	0.0009	0.001	0.045	0	0.00021	0.00039	0.0007	0.00052	0.00053	0.00011	0.00047	15	0.37	0.00029	0.0001	0.0005	0	1.00E-05	6.00E-07	0.18	0	0				
Pinto beans	Grains	0.046	143	26	0	0.00022	0.65	9	0.000172	0.0021	0.05	0.13	17	0	0	0	0.147	0.24	0.436	9	0.14	6.20E-06	0.001	0	0	0	0.00019	0	6.00E-05	0.00032	0.00021	0.00023	0.0008	0.00098	0.035	0	0.00025	0.00043	0.00077	0.00063	0.00045	0.00012	0.00053	15	0.34	0.00033	0.00011	0.00052	0	0.00094	3.50E-06							
Yellow beans	Grains	0.062	144	25	0	0.00019	1.1	10	8.10E-05	0.0025	0.074	0.09	15	0	0	0	0.183	0.47	0.325	9.2	0.28	1.30E-06	0.005	0	2	0	0.00019	0	0.0001	0.00071	0.00023	0.00013	0.0018	0.0011	0.035		0.00026	0.00041	0.00073	0.00063	0.00046	0.00014	0.0005		0.34	0.00039	0.00011	0.00048	0	0.00094	3.50E-06							
White beans	Grains	0.09	139	25	0	0.00029	0.35	6.3	8.10E-05	0.0037	0.063	0.03	19	0	0	0	0.113	0.15	0.561	9.7	0.09	1.30E-06	0.006	0	0	0	0.00012	0	5.00E-05	0.00014	0.00023	9.00E-05	0	0.0014	0.035		0.00027	0.00043	0.00078	0.00067	0.00064	0.00015	0.00053		0.34	0.00041	0.00012	0.00051	0	0.00094	3.50E-06							
Fava beans	Grains	0.036	110	20	0	0.00026	0.4	5.4	0.000104	0.0015	0.043	0.08	14	0	0	0	0.125	0.16	0.268	7.6	0.07	2.60E-06	0.005	0	15	1.00E-06	0.0001	0	9.00E-05	0.00071	0.00016	7.00E-05	0.0003	0.001	0.031		0.00019	0.00031	0.00057	0.00049	0.00042	6.00E-05	0.00032		1.8	0.00027	7.00E-05	0.00034	0	2.00E-05	2.90E-06							
Chickpeas	Grains	0.049	164	27	0	0.00035	2.6	7.6	0.000172	0.0029	0.048	0.58	20	0	0	0	0.168	1.2	0.291	8.9	0.27	3.70E-06	0.007	0	27	1.00E-06	0.00012	0	6.00E-05	0.00053	0.00029	0.00014	0.0013	0.0015	0.043		0.00024	0.00038	0.00063	0.00059	0.001	0.00012	0.00048		4.8	0.00033	9.00E-05	0.00037	0	0.00035	4.00E-06							
Cowpea (Black-eyed pea)	Grains	0.024	116	21	0	0.00027	0.53	6.5	0.000208	0.0025	0.053	0.04	14	0	0	0	0.156	0.23	0.278	7.7	0.14	2.50E-06	0.004	0	15	1.00E-06	0.0002	0	6.00E-05	0.0005	0.00041	0.0001	0.0004	0.0013	0.032		0.00024	0.00031	0.00059	0.00052	0.00048	0.00011	0.00045		3.3	0.00029	0.0001	0.00037	0	0.00028	1.70E-06							
Lablab	Grains	0.04	117	21	0	0.00034	0.58		4.00E-06	0.0046	0.082	0.03	21				0.12	0.25	0.337	8.1	0.1	2.80E-06	0.007	0	0	0	0.00027	0	4.00E-05	0.00041	0.00032	4.00E-05	0	0.0029			0.00023	0.00039	0.00069	0.00056	0.00048	7.00E-05	0.00041			0.00032	7.00E-05	0.00042	0									
Lentil	Grains	0.019	116	20	0	0.00025	0.38	7.9	0.000181	0.0033	0.036	0.06	12	0	0	0	0.18	0.18	0.369	9	0.05	2.80E-06	0.002	0	8	0	0.00017	0	7.00E-05	0.0011	0.00064	0.00018	0.0015	0.0013	0.033		0.00025	0.00039	0.00065	0.00063	0.00049	8.00E-05	0.00045		1.8	0.00032	8.00E-05	0.00045	0	0.00011	1.70E-06							
Lima bean	Grains	0.017	115	21	0	0.00024	0.38	7	8.30E-05	0.0024	0.043	0.03	14	0	0	0	0.111	0.17	0.508	7.8	0.09	4.50E-06	0.002	0	0	0	0.00016	0	6.00E-05	0.00042	0.00042	0.00016	0	0.00095	0.033		0.00024	0.00041	0.00067	0.00052	0.00052	0.0001	0.00045		2.9	0.00034	9.00E-05	0.00047	0	0.00018	2.00E-06							
Lupin Bean	Grains	0.051	119	9.9	0	0.00023	2.9	2.8	5.90E-05	0.0012	0.054	1.2	7.1				0.128	0.73	0.245	16	0.35	2.60E-06	0.004	0	7	0	0.00013	0	5.00E-05	0.0005	0.00019	1.00E-05	0.0011	0.0014			0.00044	0.0007	0.0012	0.00083	0.00068	0.00011	0.00062			0.00057	0.00013	0.00065	0									
Mothbeans	Grains	0.003	117	21	0	0.00016	0.55		0.000143	0.0031	0.104	0.04	21				0.15	0.26	0.304	7.8	0.12	2.80E-06	0.01	0	10	1.00E-06	0.00012	0	2.00E-05	0.00067	0.00039	9.00E-05	0.001	0.00059			0.00026	0.00039	0.00053	0.00043	0.00053	8.00E-05	0.00035				5.00E-05	0.00025	0									
Mung beans	Grains	0.027	105	19	0	0.00016	0.38	7.6	0.000159	0.0014	0.048	0.05	12	0	0	0	0.099	0.13	0.266	7	0.12	2.50E-06	0.002	0	24	1.00E-06	0.00016	0	6.00E-05	0.00058	0.00041	7.00E-05	0.001	0.00084	0.029		0.00021	0.0003	0.00054	0.00049	0.0003	8.00E-05	0.00043		2	0.00023	8.00E-05	0.00036	0	0.00015	2.70E-06							
Cellophane noodles	Grains	0.025	351	86	0	8.00E-05	0.06	0.5	2.00E-06	0.0022	0.003	0.01	86	0	0	0	0.032	0.02	0.01	0.16	0.02	7.90E-06	0.01	0	0	0	0.00015	0	0	0.0002	0.0001	5.00E-05	0	0.00041	0.093		1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.0001	0	1.00E-05		0	1.00E-05	0	1.00E-05	0	0.00013	0							
Black gram	Grains	0.053	105	18	0	0.00014	0.55	6.4	9.40E-05	0.0018	0.063	0.03	12	0	0	0	0.156	0.36	0.231	7.5	0.04	2.50E-06	0.007	0	31	2.00E-06	0.00015	0	8.00E-05	0.0015	0.00043	6.00E-05	0.001	0.00083	0.03		0.00021	0.00039	0.00063	0.0005	0.00041	0.00011	0.00044		2	0.00026	8.00E-05	0.00042	0	0.00015	2.70E-06							
Pigeon pea	Grains	0.043	121	23	0	0.00027	0.38	6.7	0.000111	0.0011	0.046	0	17				0.119	0.21	0.384	6.8	0.08	2.90E-06	0.005	0	3	0	0.00015	0	6.00E-05	0.00078	0.00032	5.00E-05	0	0.0009			0.00024	0.00025	0.00048	0.00047	0.0005	8.00E-05	0.00058			0.00024	7.00E-05	0.00029	0									
Refried beans	Grains	0.029	90	14	0	0.00013	2	3.7	1.10E-05	0.0014	0.035	0.6	9.9	0	0	0	0.092	0.54	0.319	5	0.63	5.80E-06	0.37	0.02	0	0	8.00E-05	0	8.00E-05	0.00037	0.00019	0.0001	0.006	0.00058	0.021	0	0.153	0.00024	0.00044	0.00038	0.00029	8.00E-05	0.0003	7.4	0.54	0.00023	7.00E-05	0.00029	0	9.00E-05	2.10E-06	0.17	0.01	0	0	0	0.36	
Soybean	Grains	0.102	172	8.4	0	0.00041	9	6	5.40E-05	0.0051	0.086	2	2.4	0	0	0	0.245	5.1	0.515	18	1.3	7.30E-06	0.001	0	9	0	0.00016	0	0.00029	0.0004	0.00018	0.00023	0.0017	0.0012	0.048		0.00045	0.00081	0.0014	0.0011	0.00082	0.00022	0.00087		3	0.00072	0.00024	0.00083	0	0.00035	1.90E-05							
Nattō	Grains	0.217	211	13	0	0.00067	11	5.4	8.00E-06	0.0086	0.115	2.4	7.3	0	0	0	0.174	6.2	0.729	19	1.6	8.80E-06	0.007	0	0	0	0.00016	0	0.00019	0	0.00022	0.00013	0.013	0.003	0.057		0.00051	0.00093	0.0015	0.0011	0.0015	0.00021	0.00094		4.9	0.00081	0.00022	0.001	0	1.00E-05	2.30E-05							
Tempeh	Grains	0.111	192	7.6	0	0.00056	11		2.40E-05	0.0027	0.081	3.2	7.6				0.266	4.3	0.412	20	2.5	0	0.009	0	0	0	8.00E-05	8.00E-08	0.00036	0.0026	0.00028	0.00022	0	0.0011			0.00047	0.00088	0.0014	0.00091	0.0013	0.00018	0.00089			0.0008	0.00019	0.00092	0									
Soybean meal	Grains	0.244	337	36	0	0.002	2.4		0.000303	0.014	0.306	0.41	36				0.701	1	2.49	49	0.27	3.30E-06	0.003	0	40	2.00E-06	0.00069	0	0.00025	0.0026	0.002	0.00057	0	0.0051			0.0012	0.0022	0.0037	0.003	0.0038	0.00061	0.0023			0.002	0.00065	0.0022	0									
Okara	Grains	0.08	76	12	0	0.0002	1.7		2.60E-05	0.0013	0.026	0.3	12				0.06	0.76	0.213	3.5	0.19	1.10E-05	0.009	0	0	0	2.00E-05	0	2.00E-05	0.0001	9.00E-05	0.00012	0	0.00056			9.00E-05	0.00016	0.00024	0.00021	0.0004	4.00E-05	0.00016			0.00013	5.00E-05	0.00016	0									
Winged beans	Grains	0.142	147	15	0	0.00077	5.8		1.00E-05	0.0043	0.054	2.2	15				0.153	1.6	0.28	11	0.83	2.90E-06	0.013	0	0	0	0.0003	0	0.00013	0.00083	0.00016	5.00E-05	0	0.0014			0.00024	0.00045	0.00076	0.00065	0.0012	0.00011	0.00044			0.00036	0.00023	0.00047	0									
Falafel	Grains	0.054	333	32	0	0.00026	18		9.30E-05	0.0034	0.082	10	32				0.192	4.2	0.585	13	2.4	1.00E-06	0.294	0	13	1.00E-06	0.00015	0	0.00017	0.001	0.00029	0.00013	0.0016	0.0015			0.00036	0.00057	0.00094	0.00086	0.00069	0.00019	0.00071			0.00049	0.00013	0.00056	0									
Chickpea flour (besan)	Grains	0.045	387	58	0	0.00091	6.7	11	0.000437	0.0049	0.166	1.5	47	0	0	0	0.318	3	0.846	22	0.69	8.30E-06	0.064	0	41	2.00E-06	0.00049	0	0.00011	0.0018	0.00061	0.00049	0	0.0028							0.0016				11				0	0.00083	9.10E-06							
Hummus	Grains	0.038	166	14	0	0.00053	9.6	6	8.30E-05	0.0024	0.071	4	8.3				0.176	3.6	0.228	7.9	1.4	2.60E-06	0.379		30		0.00018	0	6.00E-05	0.00058	0.00013	0.0002	0	0.0018							0.00077								0									
Soy yogurt	Grains	0.132	66	9.7	0		1.8	0.4					9.3							2.6	0.22		0.013	0	0								0.013												5.3				1.30E-06									
Tofu	Grains	0.683	144	2.8	0	0.00038	8.7	2.3	2.90E-05	0.0027	0.058	1.9	0.48				0.19	4.9	0.237	17	1.3	1.70E-05	0.014	0	166		0.00016	0	0.0001	0.00038	0.00013	9.00E-05	0.0002	0.0016			0.00043	0.00085	0.0014	0.00088	0.0012	0.00021	0.00084			0.00079	0.00024	0.00087	0									
Wheat Bread	Grains	0.165	313	56	0	0.0002	4.3	4.7	8.60E-05	0.0041	0.059	1	51	0	0	0	0.188	1.7	0.223	13	0.99	3.30E-05	0.601		0	0	0.00044	0	0.00038	0.0063	0.00046	0.00015	0.0002	0.0015	0.022		0.00015	0.00026	0.00046	0.00022	0.0014	0.00011	0.00032		6.4	0.0003	9.00E-05	0.00031	0	0.00024	5.70E-06	0.16	0	0				
Amaranth grain	Grains	0.047	102	19		0.00015	1.6	2.1	2.20E-05	0.0021	0.065		17				0.148		0.135	3.8		5.50E-06	0.006				2.00E-05		2.00E-05	0.00024		0.00011		0.00086							0.00085			16						0.00019								
Groat	Grains	0.018	343	72	0	0.0011	3.4	10	3.00E-05	0.0022	0.231	1	62	0	0	0	0.347	1	0.46	13	0.74	8.30E-06	0.001		0	0	0.0001	0	0.00043	0.007	0.0012	0.00021	0	0.0024			0.00031	0.0005	0.00083	0.00067	0.0013	0.00017	0.00052			0.00051	0.00019	0.00068	0									
Buckwheat	Grains	0.007	92	20	0	0.00015	0.62	2.7	1.40E-05	0.0008	0.051	0.19	17	0	0	0	0.07	0.19	0.088	3.4	0.13	2.20E-06	0.004		0	0	4.00E-05	0	4.00E-05	0.00094	0.00036	8.00E-05	0	0.00061	0.02	0.1	8.00E-05	0.00013	0.00021	0.00017	0.0004	4.00E-05	0.00013		0.9	0.00013	5.00E-05	0.00017	0	9.00E-05	1.90E-06							
Cornmeal	Grains	0.003	370	79	0	8.00E-05	1.8	3.9	0.000209	0.0044	0.032	0.39	76	0	0	0	0.099	0.83	0.142	7.1	0.22	1.10E-05	0.007	0	214	1.10E-05	0.00055	0	0.00038	0.005	0.00024	0.00018	0	0.00066	0.0086	0.17	0.00017	0.00024	0.001	0.00011	0.00017	0.00016	0.00037	73	1.6	0.00017	4.00E-05	0.00034	0	0.00012	0		0	0				
Couscous	Grains	0.008	112	23	0	4.00E-05	0.16	1.4	1.50E-05	0.00038	0.008	0.02	22	0	0	0	0.022	0.06	0.058	3.8	0.03	2.80E-05	0.005		0	0	6.00E-05	0	3.00E-05	0.00098	0.00037	5.00E-05	0	0.00026	0.0033		8.00E-05	0.00015	0.00026	7.00E-05	8.00E-05	6.00E-05	0.00018		0.1	0.0001	5.00E-05	0.00016	0	0.00013	1.00E-07							
Millet	Grains	0.003	119	24	0	0.00016	1	1.3	1.90E-05	0.00063	0.044	0.18	22	0	0	0	0.1	0.51	0.062	3.5	0.17	9.00E-07	0.002		3	0	0.00011	0	8.00E-05	0.0013	0.00017	0.00011	0	0.00091	0.011		8.00E-05	0.00015	0.00045	7.00E-05	0.00027	7.00E-05	0.00019		0.13	0.00011	4.00E-05	0.00018	0	2.00E-05	3.00E-07							
Brown rice	Grains	0.003	123	26	0	0.00011	0.97	1.6	9.00E-06	0.00056	0.039	0.37	24	0	0	0	0.103	0.37	0.086	2.7	0.26	5.80E-06	0.004	0	0	0	0.00018	0	7.00E-05	0.0026	0.00038	0.00012	0	0.00071	0.0092	0	7.00E-05	0.00011	0.00021	0.0001	0.00097	6.00E-05	0.00013	25	0.24	0.0001	3.00E-05	0.00015	0	0.00017	2.00E-07	0.01	0	0	0	0	0.36	
